! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
275.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	136.054267deg
250.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	118.709345deg
275.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	80.715704deg
250.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	63.370782deg
275.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	25.377141deg
250.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	8.032218deg
275.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-29.961422deg
250.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-47.306345deg
275.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-85.299985deg
250.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-102.644908deg
275.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-140.638548deg
250.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-157.983471deg
275.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	164.022889deg
250.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	146.677966deg
275.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	108.684326deg
300.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-123.892305deg
325.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-161.885946deg
300.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-179.230868deg
325.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	142.775491deg
300.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	125.430568deg
325.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	87.436928deg
300.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	70.092005deg
325.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	32.098365deg
300.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	14.753442deg
325.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-23.240198deg
300.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-40.585121deg
325.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-78.578761deg
300.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-95.923684deg
325.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-133.917324deg
300.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-151.262247deg
